loan_amount,loan_maturity_days,interest_rate,borrower_type,age,credit_score,employment_years,defaulted
25476.99907,71,0.279569477,Freelancer,25,567,7,0
21032.14989,85,0.271865372,Small Merchant,49,412,11,0
26533.81977,46,0.276727083,Freelancer,20,704,14,0
32661.20899,60,0.293419151,Freelancer,57,701,3,0
20360.92638,82,0.316718248,Small Merchant,44,535,7,0
20361.0413,63,0.25,Freelancer,54,305,14,0
33054.48971,67,0.254699621,Small Merchant,45,413,4,0
27372.0431,86,0.277170476,Gig Worker,32,664,9,0
18713.6793,66,0.280992875,Small Merchant,38,620,19,0
25797.92031,33,0.275646962,Gig Worker,29,610,18,1
18756.07615,31,0.268934429,Small Merchant,26,467,14,0
18739.89173,41,0.25535285,Freelancer,34,351,5,0
23693.7359,64,0.267784702,Gig Worker,42,599,8,0
10000,35,0.296344732,Small Merchant,55,361,5,0
10000,85,0.281861336,Small Merchant,50,383,8,0
18063.9873,75,0.293511238,Freelancer,27,652,7,0
14910.18216,37,0.255931719,Gig Worker,49,802,15,0
24199.73133,50,0.308882866,Gig Worker,53,774,9,0
15643.83147,82,0.268762307,Freelancer,52,802,8,0
12113.87409,87,0.289504033,Gig Worker,20,398,7,1
32259.54138,75,0.277498389,Small Merchant,35,605,13,0
20419.5659,90,0.269199713,Freelancer,30,614,6,0
22472.69743,64,0.288656371,Gig Worker,46,741,10,0
12026.7627,77,0.292010196,Small Merchant,41,546,19,0
18189.32093,44,0.333760286,Freelancer,59,564,15,0
22776.45813,36,0.292785399,Gig Worker,38,724,16,0
13943.04496,44,0.292485383,Small Merchant,25,357,7,0
24629.88613,74,0.302897632,Small Merchant,59,783,11,0
17795.52917,35,0.29063708,Small Merchant,58,623,16,0
19958.14375,76,0.279225705,Small Merchant,39,485,14,0
17788.05371,46,0.286514501,Freelancer,22,798,6,0
34965.94729,33,0.297096141,Gig Worker,20,361,18,0
21905.51943,51,0.307815263,Small Merchant,42,545,16,0
14596.0235,61,0.25,Freelancer,57,786,12,0
27757.81438,88,0.25,Freelancer,22,672,7,1
13454.09445,51,0.306967509,Small Merchant,53,814,13,0
23462.04517,56,0.26405079,Small Merchant,36,350,7,0
10000,75,0.25,Gig Worker,46,398,13,0
12702.69766,44,0.25,Small Merchant,58,622,4,0
23378.02865,89,0.316036961,Small Merchant,42,740,11,0
27169.26606,73,0.297552256,Small Merchant,57,703,19,0
23199.57797,80,0.264098144,Small Merchant,30,716,10,0
21190.46202,51,0.264924913,Gig Worker,34,454,3,1
19892.27413,57,0.281097266,Small Merchant,45,841,19,0
11650.34607,71,0.29718781,Gig Worker,30,445,1,0
16961.09054,67,0.274119845,Small Merchant,26,534,9,0
18775.5286,89,0.264279435,Small Merchant,27,773,9,0
29399.85558,86,0.302700931,Freelancer,24,698,6,0
24405.32803,38,0.279483237,Freelancer,36,759,11,0
10000,63,0.276167482,Freelancer,42,732,15,0
24268.58779,65,0.291842492,Small Merchant,21,556,9,0
19304.42404,38,0.25,Small Merchant,46,738,7,0
17261.546,44,0.289482696,Gig Worker,40,836,7,0
26281.73402,74,0.288218323,Gig Worker,26,474,4,0
29216.99666,49,0.252421669,Small Merchant,57,790,3,0
28518.96083,37,0.25,Freelancer,45,582,11,0
16125.47734,87,0.268712769,Freelancer,49,518,10,0
19835.51337,57,0.283659467,Gig Worker,31,455,14,0
24318.84402,80,0.28569742,Small Merchant,30,356,12,0
28828.81589,48,0.31408093,Small Merchant,36,810,0,0
18645.78034,86,0.283668389,Freelancer,29,637,4,0
20700.38716,45,0.252023467,Freelancer,35,571,5,0
14255.65518,40,0.274980571,Gig Worker,34,483,12,0
13626.55363,71,0.254027132,Small Merchant,34,590,9,0
27687.68076,37,0.276417929,Gig Worker,39,601,11,0
31493.6802,62,0.308178215,Gig Worker,23,546,2,0
21495.92915,39,0.289184856,Freelancer,51,315,10,0
29024.73029,47,0.265584304,Small Merchant,41,634,14,0
24531.45218,64,0.291846815,Freelancer,54,510,16,0
17484.16172,72,0.264444357,Freelancer,33,672,4,0
24529.76924,79,0.25,Small Merchant,49,705,4,0
32766.25597,32,0.255330322,Small Merchant,50,829,10,0
21749.21773,69,0.289168808,Gig Worker,29,321,7,0
32952.50559,56,0.295446721,Gig Worker,25,418,10,0
10000,88,0.314352954,Freelancer,46,827,19,0
27753.31753,57,0.286823593,Freelancer,30,483,14,0
22609.32948,75,0.306943186,Freelancer,55,814,8,0
19906.94855,35,0.292601863,Gig Worker,29,791,17,0
22642.32544,76,0.298748054,Freelancer,35,805,5,0
