loan_amount,loan_maturity_days,interest_rate,borrower_type,age,credit_score,employment_years,defaulted
25476.99907,71.0,0.279569477,Freelancer,25.0,567.0,7.0,0.0
21032.14989,85.0,0.271865372,Small Merchant,49.0,412.0,11.0,0.0
26533.81977,46.0,0.276727083,Freelancer,20.0,704.0,14.0,0.0
32661.20899,60.0,0.293419151,Freelancer,57.0,701.0,3.0,0.0
20360.92638,82.0,0.316718248,Small Merchant,44.0,535.0,7.0,0.0
20361.0413,63.0,0.25,Freelancer,54.0,305.0,14.0,0.0
33054.48971,67.0,0.254699621,Small Merchant,45.0,413.0,4.0,0.0
27372.0431,86.0,0.277170476,Gig Worker,32.0,664.0,9.0,0.0
18713.6793,66.0,0.280992875,Small Merchant,38.0,620.0,19.0,0.0
25797.92031,33.0,0.275646962,Gig Worker,29.0,610.0,18.0,0.0
18756.07615,31.0,0.268934429,Small Merchant,26.0,467.0,14.0,0.0
18739.89173,41.0,0.25535285,Freelancer,34.0,351.0,5.0,0.0
23693.7359,64.0,0.267784702,Gig Worker,42.0,599.0,8.0,0.0
10000.0,35.0,0.296344732,Small Merchant,55.0,361.0,5.0,0.0
10000.0,85.0,0.281861336,Small Merchant,50.0,383.0,8.0,0.0
18063.9873,75.0,0.293511238,Freelancer,27.0,652.0,7.0,0.0
14910.18216,37.0,0.255931719,Gig Worker,49.0,802.0,15.0,0.0
24199.73133,50.0,0.308882866,Gig Worker,53.0,774.0,9.0,0.0
15643.83147,82.0,0.268762307,Freelancer,52.0,802.0,8.0,0.0
12113.87409,87.0,0.289504033,Gig Worker,20.0,398.0,7.0,0.0
32259.54138,75.0,0.277498389,Small Merchant,35.0,605.0,13.0,0.0
20419.5659,90.0,0.269199713,Freelancer,30.0,614.0,6.0,0.0
22472.69743,64.0,0.288656371,Gig Worker,46.0,741.0,10.0,0.0
12026.7627,77.0,0.292010196,Small Merchant,41.0,546.0,19.0,0.0
18189.32093,44.0,0.333760286,Freelancer,59.0,564.0,15.0,0.0
22776.45813,36.0,0.292785399,Gig Worker,38.0,724.0,16.0,0.0
13943.04496,44.0,0.292485383,Small Merchant,25.0,357.0,7.0,0.0
24629.88613,74.0,0.302897632,Small Merchant,59.0,783.0,11.0,0.0
17795.52917,35.0,0.29063708,Small Merchant,58.0,623.0,16.0,0.0
19958.14375,76.0,0.279225705,Small Merchant,39.0,485.0,14.0,0.0
17788.05371,46.0,0.286514501,Freelancer,22.0,798.0,6.0,0.0
34965.94729,33.0,0.297096141,Gig Worker,20.0,361.0,18.0,0.0
21905.51943,51.0,0.307815263,Small Merchant,42.0,545.0,16.0,0.0
14596.0235,61.0,0.25,Freelancer,57.0,786.0,12.0,0.0
27757.81438,88.0,0.25,Freelancer,22.0,672.0,7.0,0.0
13454.09445,51.0,0.306967509,Small Merchant,53.0,814.0,13.0,0.0
23462.04517,56.0,0.26405079,Small Merchant,36.0,350.0,7.0,0.0
10000.0,75.0,0.25,Gig Worker,46.0,398.0,13.0,0.0
12702.69766,44.0,0.25,Small Merchant,58.0,622.0,4.0,0.0
23378.02865,89.0,0.316036961,Small Merchant,42.0,740.0,11.0,0.0
27169.26606,73.0,0.297552256,Small Merchant,57.0,703.0,19.0,0.0
23199.57797,80.0,0.264098144,Small Merchant,30.0,716.0,10.0,0.0
21190.46202,51.0,0.264924913,Gig Worker,34.0,454.0,3.0,0.0
19892.27413,57.0,0.281097266,Small Merchant,45.0,841.0,19.0,0.0
11650.34607,71.0,0.29718781,Gig Worker,30.0,445.0,1.0,0.0
16961.09054,67.0,0.274119845,Small Merchant,26.0,534.0,9.0,0.0
18775.5286,89.0,0.264279435,Small Merchant,27.0,773.0,9.0,0.0
29399.85558,86.0,0.302700931,Freelancer,24.0,698.0,6.0,0.0
24405.32803,38.0,0.279483237,Freelancer,36.0,759.0,11.0,0.0
10000.0,63.0,0.276167482,Freelancer,42.0,732.0,15.0,0.0
24268.58779,65.0,0.291842492,Small Merchant,21.0,556.0,9.0,0.0
19304.42404,38.0,0.25,Small Merchant,46.0,738.0,7.0,0.0
17261.546,44.0,0.289482696,Gig Worker,40.0,836.0,7.0,0.0
26281.73402,74.0,0.288218323,Gig Worker,26.0,474.0,4.0,0.0
29216.99666,49.0,0.252421669,Small Merchant,57.0,790.0,3.0,0.0
28518.96083,37.0,0.25,Freelancer,45.0,582.0,11.0,0.0
16125.47734,87.0,0.268712769,Freelancer,49.0,518.0,10.0,0.0
19835.51337,57.0,0.283659467,Gig Worker,31.0,455.0,14.0,0.0
24318.84402,80.0,0.28569742,Small Merchant,30.0,356.0,12.0,0.0
28828.81589,48.0,0.31408093,Small Merchant,36.0,810.0,0.0,0.0
18645.78034,86.0,0.283668389,Freelancer,29.0,637.0,4.0,0.0
20700.38716,45.0,0.252023467,Freelancer,35.0,571.0,5.0,0.0
14255.65518,40.0,0.274980571,Gig Worker,34.0,483.0,12.0,0.0
13626.55363,71.0,0.254027132,Small Merchant,34.0,590.0,9.0,0.0
27687.68076,37.0,0.276417929,Gig Worker,39.0,601.0,11.0,0.0
31493.6802,62.0,0.308178215,Gig Worker,23.0,546.0,2.0,0.0
21495.92915,39.0,0.289184856,Freelancer,51.0,315.0,10.0,0.0
29024.73029,47.0,0.265584304,Small Merchant,41.0,634.0,14.0,0.0
24531.45218,64.0,0.291846815,Freelancer,54.0,510.0,16.0,0.0
17484.16172,72.0,0.264444357,Freelancer,33.0,672.0,4.0,0.0
24529.76924,79.0,0.25,Small Merchant,49.0,705.0,4.0,0.0
32766.25597,32.0,0.255330322,Small Merchant,50.0,829.0,10.0,0.0
21749.21773,69.0,0.289168808,Gig Worker,29.0,321.0,7.0,0.0
32952.50559,56.0,0.295446721,Gig Worker,25.0,418.0,10.0,0.0
10000.0,88.0,0.314352954,Freelancer,46.0,827.0,19.0,0.0
27753.31753,57.0,0.286823593,Freelancer,30.0,483.0,14.0,0.0
22609.32948,75.0,0.306943186,Freelancer,55.0,814.0,8.0,0.0
19906.94855,35.0,0.292601863,Gig Worker,29.0,791.0,17.0,0.0
22642.32544,76.0,0.298748054,Freelancer,35.0,805.0,5.0,0.0
10000.0,43.0,0.30203441,Small Merchant,43.0,736.0,5.0,0.0
20462.29679,36.0,0.289740343,Freelancer,40.0,404.0,10.0,0.0
24499.788,39.0,0.301496974,Gig Worker,59.0,402.0,19.0,0.0
32345.25831,44.0,0.266028939,Gig Worker,55.0,507.0,2.0,0.0
18372.10847,60.0,0.25,Gig Worker,42.0,346.0,10.0,0.0
16340.54478,58.0,0.293014794,Freelancer,40.0,603.0,2.0,0.0
18487.70069,71.0,0.287495571,Small Merchant,51.0,466.0,17.0,0.0
28407.81482,83.0,0.262494558,Gig Worker,36.0,793.0,2.0,0.0
24301.25777,46.0,0.254750952,Small Merchant,36.0,386.0,19.0,0.0
18291.67857,88.0,0.282613498,Gig Worker,40.0,525.0,9.0,0.0
25592.87203,80.0,0.294338439,Freelancer,23.0,419.0,3.0,0.0
